"id_juego","id_coleccion","id_carta","card_name","level","cost","card_type","ap","hp","color","link","trait","zone","alt","translation","rarity","show_name","subtitle","artist","image_url"
"GD","EXB","001","EX Base",\N,\N,"exbase-token",0,3,"resource",\N,\N,\N,\N,"(At the start of the game, place 1 active EX Base as your shield area's base.)","P",\N,\N,\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/12/EXB-001.webp"
"GD","EXR","001","EX Resource",\N,\N,"resource",\N,\N,"resource",\N,\N,\N,\N,"(At the start of the game, the second-turn player places 1 EX Resource into their resource area.) (Rest an EX Resource then exile it from the game when paying a cost.)","C",\N,\N,\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/10/exresource.webp"
"GD","GD01","004","Guncannon",3,2,"unit",2,3,"blue","(White Base Team) Trait","(Earth Federation) (White Base Team)","Space / Earth",\N,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.) [When Paired] Choose 1 enemy Unit with 2 or less HP. Rest it.","R","Mobile Suit Gundam","RX-77","K2 Shoukai","https://gogi.cardlist.dev/wp-content/uploads/2024/12/T-002.webp"
"GD","GD01","005","Unicorn Gundam (Unicorn Mode)",5,4,"unit",4,3,"blue","[Banagher Links]","(Civilian)","Space / Earth",\N,"[During Pair][Destroyed] If this is a Link Unit, return its paired Pilot to its owner's hand. Then, discard 1.","R","Mobile Suit Gundam Unicorn","RX-0","ZB","https://gogi.cardlist.dev/wp-content/uploads/2024/11/GD01-005.webp"
"GD","GD01","008","Guntank",2,1,"unit",1,2,"blue",\N,"(Earth Federation) (White Base Team)","Space / Earth",\N,"[Deploy] Choose 1 rested enemy Unit. Deal 1 damage to it.","U","Mobile Suit Gundam","RX-75","amasaki","https://gogi.cardlist.dev/wp-content/uploads/2024/12/T-003.webp"
"GD","GD01","009","G-Fighter",3,2,"unit",3,2,"blue","(White Base Team) Trait","(Earth Federation) (White Base Team)","Space / Earth",\N,"[Deploy] Choose 1 of your (White Base Team) Units. It gains <High-Maneuver> during this turn. (This Unit can't be blocked.)","U","Mobile Suit Gundam",\N,\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-009.webp"
"GD","GD01","011","Loto",2,2,"unit",2,2,"blue","(Earth Federation) Trait","(Earth Federation)","Space / Earth",\N,\N,"U","Mobile Suit Gundam Unicorn","D-50C","Gas1","https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-011.webp"
"GD","GD01","013","Gundam",4,2,"unit",3,4,"blue","[Amuro Ray]","(Earth Federation) (White Base Team)","Space / Earth",\N,\N,"C","Mobile Suit Gundam","RX-78-2",\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/12/T-001.webp"
"GD","GD01","015","Ball",1,1,"unit",1,1,"blue",\N,"(Earth Federation)","Space",\N,"[Attack] Choose 1 of your Units. It recovers 1 HP.","C","Mobile Suit Gundam","RB-79","J.YUZUKURU(willow_wonka)","https://gogi.cardlist.dev/wp-content/uploads/2024/10/GD01-015-1.webp"
"GD","GD01","016","Jegan",3,2,"unit",2,3,"blue",\N,"(Earth Federation)","Space / Earth",\N,"While you have 2 or more (Earth Federation) Units in play, this card in your hand gets cost -1.","C","Mobile Suit Gundam Unicorn",\N,\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-016.webp"
"GD","GD01","018","ReZEL",3,2,"unit",4,3,"blue",\N,"(Earth Federation)","Space / Earth",\N,\N,"C","Mobile Suit Gundam Unicorn","RGZ-95",\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-018.webp"
"GD","GD01","026","Char's Zaku II",3,2,"unit",3,2,"green","[Char Aznable]","(Zeon)","Space / Earth",\N,"[During Pair][Destroyed] Deploy 1 rested [Char's Zaku II]((Zeon)･AP3･HP1) Unit token.","R","Mobile Suit Gundam","MS-06S","Ra.Ru.Ru.","https://gogi.cardlist.dev/wp-content/uploads/2024/12/T-006.webp"
"GD","GD01","028","Gundam Sandrock",4,3,"unit",4,4,"green","[Quatre Raberba Winner]","(Earth Federation)","Space / Earth",\N,"[After attack] Choose 1 enemy Unit with 2 or less HP. It is destroyed.","R","Mobile Suit Gundam Wing","Gundam Sandrock","kashiwagi","https://gogi.cardlist.dev/wp-content/uploads/2024/10/GD01-028.webp"
"GD","GD01","030","Rick Dom",3,2,\N,3,3,"green",\N,"(Zeon)","Space",\N,"<Breach 2> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.)","U","Mobile Suit Gundam","MS-09R",\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-030.webp"
"GD","GD01","031","Gelgoog",4,2,\N,4,3,"green","(Zeon) Trait","(Zeon)","Space / Earth",\N,\N,"U","Mobile Suit Gundam","MS-14","Ayaragi","https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-031.webp"
"GD","GD01","034","Gundam Heavyarms",4,2,\N,3,4,"green","[Trowa Barton]","(Operation Meteor)","Earth",\N,"[During Pair] This Unit gains <Breach 3>.\n(When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.)","U","Mobile Suit Gundam Wing","XXXG-01H","Hiroshi Ayaragi","https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-034.webp"
"GD","GD01","040","Wing Gundam",5,2,\N,4,3,"green","[Heero Yuy]","(Operation Meteor)","Space / Earth",\N,\N,"C","Mobile Suit Gundam Wing","XXXG-01W",\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/12/ST02-001_p1.webp"
"GD","GD01","041","Shenlong Gundam",4,3,\N,4,3,"green","[Chang Wufei]","(Operation Meteor)","Earth",\N,"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.)","C","Mobile Suit Gundam Wing","XXXG-01S",\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-041.webp"
"GD","GD01","068","Perfect Strike Gundam",5,3,\N,4,4,"white","(Earth Alliance) Trait","(Triple Ship Alliance)","Space / Earth",\N,"<Blocker> (Rest this Unit to change the attack target to it.)\n[Deploy] Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.","R","Mobile Suit Gundam SEED","GAT-X105+AQM/E-YM1","Kazumasa Yasukuni","https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-068.webp"
"GD","GD01","070","Gundam Aerial",5,3,\N,3,3,"white","[Suletta Mercury]","(Academy)","Space / Earth",\N,"While there are 4 or more Command cards in your trash, this card in your hand gets cost -2.","R","Mobile Suit Gundam the Witch from Mercury","XVX-016",\N,"https://gogi.cardlist.dev/wp-content/uploads/2024/12/GD01-070_p1.webp"
